"ProductName","Provenance","StorageType","Entity","Attribute","DataType","LinkedTo","Property"
"LITE","lite-api","RDBMS-Postgres-Django","parties_party","copy_of_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","int4--integer","compliance_compliancevisitcase","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","organisation","id","varchar--character varying","users_exporternotification","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","compliance_openlicencereturns","year","int2--smallint","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","users_baseuser","id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","uuid--uuid","cases_case_additional_contacts","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","letter_templates_lettertemplate","id","int4--integer","letter_templates_lettertemplate_letter_paragraphs","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","search_comment","user_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","users_basenotification","object_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","good","no_part_number_comments","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","text--text","open_general_licence_case","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","advice","id","uuid--uuid","cases_countersignadvice","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","id","varchar--character varying","good","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","letter_templates_lettertemplate_letter_paragraphs","lettertemplate_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","users_baseuser_groups","id","int4--integer","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","background_task_completedtask","queue","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_partyonapplication_flags","id","int4--integer","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","site","id","text--text","organisation","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","queue","id","text--text","routing_rules_routingrule","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","django_content_type","id","text--text","django_admin_log","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","routing_rules_routingrule","id","text--text","routing_rules_routingrule_flags_to_exclude","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","users_baseuser","id","int4--integer","users_exporteruser","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_goodcountrydecision","approve","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_partyonapplication","id","int4--integer","external_data_sanctionmatch","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_baseapplication","case_ptr_id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","advice_denial_reasons","id","int4--integer","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_goodonapplication","nsg_list_type","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","routing_rules_routingrule","updated_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","queries_query","case_ptr_id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","documents_document","updated_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_casenote","case_id","uuid--uuid","NONE","UNIQUE"
